date|time|description|vendor|amount
2025-01-03|08:10|Monthly Membership Fee|FitHub Payments|59.99
2025-01-05|09:45|Protein Shake Sale|MuscleFuel Bar|7.25
2025-01-08|17:00|Yoga Mat Sale|Front Desk Retail|24.50
2025-01-10|13:20|Utility Bill - Electricity|City Power Co.|-285.40
2025-01-15|07:40|Personal Training Session|Coach Daniels|80.00
2025-01-20|10:30|Cleaning Supplies Purchase|Sparkle Cleaners|-92.75
2025-02-01|08:05|Monthly Membership Fee|FitHub Payments|59.99
2025-02-05|14:15|Equipment Repair|LiftFix Services|-340.00
2025-02-10|18:30|Gym Hoodie Sale|Front Desk Retail|39.99
2025-02-15|09:05|Smoothie Bar Ingredients|FreshPro Distributors|-128.60
2025-03-01|07:50|Monthly Membership Fee|FitHub Payments|59.99
2025-03-04|16:45|Water Utility Bill|City Utilities|-75.30
2025-03-09|09:25|Spin Class Drop-In|Front Desk Retail|15.00
2025-03-15|11:10|Building Rent|Main Street Realty|-1800.00
2025-03-21|17:55|Protein Bar Sale|MuscleFuel Bar|12.00
2025-03-29|13:40|Internet Service Fee|FiberConnect|-95.00
2025-04-01|08:10|Monthly Membership Fee|FitHub Payments|59.99
2025-04-08|12:30|Equipment Maintenance|LiftFix Services|-310.00
2025-04-14|16:10|Resistance Bands Sale|Front Desk Retail|29.50
2025-04-22|10:15|Staff Payroll|Payroll Solutions|-3200.00
2025-05-01|08:00|Monthly Membership Fee|FitHub Payments|59.99
2025-05-03|14:20|Air Conditioning Repair|CoolTech Services|-420.00
2025-05-06|18:10|Smoothie Sale|MuscleFuel Bar|6.75
2024-05-12|09:30|Cleaning Services Fee|Sparkle Cleaners|-140.00
2024-06-01|08:20|Monthly Membership Fee|FitHub Payments|59.99
2024-06-09|13:00|Protein Powder Restock|FreshPro Distributors|-275.50
2024-06-15|10:00|Boxing Gloves Sale|Front Desk Retail|45.00
2024-06-22|08:55|Gym Insurance Payment|ActiveShield Insurance|-510.00
2024-07-01|08:30|Monthly Membership Fee|FitHub Payments|59.99
2024-07-10|09:20|Nutrition Consultation|Coach Daniels|70.00
2024-07-15|11:40|Property Tax Payment|City Finance Office|-900.00
2024-07-21|17:10|Pre-Workout Drink Sale|MuscleFuel Bar|5.50
2024-07-28|13:25|Laundry Services|CleanPro Laundry|-180.00
2024-08-01|08:15|Monthly Membership Fee|FitHub Payments|59.99
2024-08-05|16:50|Advertising Campaign|AdWorks Media|-375.00
2024-08-12|17:40|Gym Towel Sale|Front Desk Retail|12.99
2024-08-19|07:30|Security System Monitoring|SafeNet Systems|-155.00
2024-09-01|08:00|Monthly Membership Fee|FitHub Payments|59.99
2024-09-09|18:50|Smoothie Sale|MuscleFuel Bar|7.25
2024-09-15|12:10|Employee Health Insurance|WellCare Group|-460.00
2024-09-21|10:25|Office Supplies|StapleSource|-98.75
2024-10-01|08:20|Monthly Membership Fee|FitHub Payments|59.99
2024-10-06|13:00|Spin Class Drop-In|Front Desk Retail|15.00
2024-10-10|11:35|HVAC Maintenance|CoolTech Services|-290.00
2024-10-16|07:50|Massage Therapy Session|Recovery Room|95.00
2024-10-22|14:10|Equipment Lease Payment|GymGear Leasing|-625.00
2024-11-01|08:00|Monthly Membership Fee|FitHub Payments|59.99
2024-11-05|09:45|Holiday Marketing Materials|AdWorks Media|-180.00
2024-11-15|10:30|Holiday Class Package Sale|Front Desk Retail|199.00
2024-11-25|17:25|Year-End Staff Bonus|Payroll Solutions|-850.00
2024-12-01|08:10|Monthly Membership Fee|FitHub Payments|59.99
2024-12-15|13:00|Deep Cleaning Service|Sparkle Cleaners|-250.00
2025-10-16|19:38:02.500977300|shake|Muscle Milk|3.0